{'epoch': 0, 'num_users': 5.94, 'loss': 0.736, 'hit_ratio@10': 0.617, 'ndcg@10': 0.4591}: 100%|███████████████████████████████████████████████████████████████████████████████████| 50/50 [01:14<00:00,  1.48s/it]
{'epoch': 1, 'num_users': 5.94, 'loss': 0.1635, 'hit_ratio@10': 0.7524, 'ndcg@10': 0.7275}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.39s/it]
{'epoch': 2, 'num_users': 5.94, 'loss': 0.0765, 'hit_ratio@10': 0.7811, 'ndcg@10': 0.7848}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:18<00:00,  1.58s/it]
{'epoch': 3, 'num_users': 5.94, 'loss': 0.0625, 'hit_ratio@10': 0.7876, 'ndcg@10': 0.7934}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:15<00:00,  1.51s/it]
{'epoch': 4, 'num_users': 5.94, 'loss': 0.0569, 'hit_ratio@10': 0.7985, 'ndcg@10': 0.7972}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:16<00:00,  1.52s/it]
{'epoch': 5, 'num_users': 5.94, 'loss': 0.0533, 'hit_ratio@10': 0.8036, 'ndcg@10': 0.8048}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:15<00:00,  1.51s/it]
{'epoch': 6, 'num_users': 5.94, 'loss': 0.0515, 'hit_ratio@10': 0.8057, 'ndcg@10': 0.8074}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.44s/it]
{'epoch': 7, 'num_users': 5.94, 'loss': 0.0487, 'hit_ratio@10': 0.8161, 'ndcg@10': 0.8109}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:15<00:00,  1.51s/it]
{'epoch': 8, 'num_users': 5.94, 'loss': 0.0478, 'hit_ratio@10': 0.8184, 'ndcg@10': 0.8184}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:14<00:00,  1.49s/it]
{'epoch': 9, 'num_users': 5.94, 'loss': 0.0457, 'hit_ratio@10': 0.8186, 'ndcg@10': 0.8175}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:13<00:00,  1.46s/it]
{'epoch': 10, 'num_users': 5.94, 'loss': 0.0433, 'hit_ratio@10': 0.8177, 'ndcg@10': 0.8249}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:14<00:00,  1.50s/it]
{'epoch': 11, 'num_users': 5.94, 'loss': 0.0412, 'hit_ratio@10': 0.8221, 'ndcg@10': 0.8287}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.44s/it]
{'epoch': 12, 'num_users': 5.94, 'loss': 0.04, 'hit_ratio@10': 0.8269, 'ndcg@10': 0.8325}: 100%|██████████████████████████████████████████████████████████████████████████████████| 50/50 [01:13<00:00,  1.47s/it]
{'epoch': 13, 'num_users': 5.94, 'loss': 0.0385, 'hit_ratio@10': 0.8282, 'ndcg@10': 0.8316}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:16<00:00,  1.53s/it]
{'epoch': 14, 'num_users': 5.94, 'loss': 0.0384, 'hit_ratio@10': 0.8305, 'ndcg@10': 0.834}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.45s/it]
{'epoch': 15, 'num_users': 5.94, 'loss': 0.0371, 'hit_ratio@10': 0.8339, 'ndcg@10': 0.8351}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.45s/it]
{'epoch': 16, 'num_users': 5.94, 'loss': 0.0362, 'hit_ratio@10': 0.8333, 'ndcg@10': 0.8393}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.44s/it]
{'epoch': 17, 'num_users': 5.94, 'loss': 0.0353, 'hit_ratio@10': 0.8343, 'ndcg@10': 0.8367}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:13<00:00,  1.47s/it]
{'epoch': 18, 'num_users': 5.94, 'loss': 0.0341, 'hit_ratio@10': 0.8388, 'ndcg@10': 0.8467}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:15<00:00,  1.51s/it]
{'epoch': 19, 'num_users': 5.94, 'loss': 0.033, 'hit_ratio@10': 0.839, 'ndcg@10': 0.8428}: 100%|██████████████████████████████████████████████████████████████████████████████████| 50/50 [01:14<00:00,  1.49s/it]
